Problem Description,Python Code,Source,Description Error,Error Label,Problem Augmented,Description Augmented
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Calculate the total even numbers from 1 to n,"def count_evens_buggy(n):
    count = 0
    i = 0
    while i <= n:
        if (i & 1) == 0:
            count += 1
        i += 1
    return count"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Calculate the total even numbers from 1 to n,"def count_evens_buggy(n):
    i = 0
    total = 0
    while not (i > n):
        if not i % 2:
            total += 1
        i += 1
    return total"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Calculate the total even numbers from 1 to n,"def count_evens_buggy(n):
    i = 0
    c = 0
    while i <= n:
        c += int(i % 2 == 0)
        i += 1
    return c"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Calculate the total even numbers from 1 to n,"def count_evens_buggy(n):
    count = 0
    i = 0
    while i <= n:
        count += (i ^ 1 == i + 1)
        i += 1
    return count"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Calculate the total even numbers from 1 to n,"def count_evens_buggy(n):
    idx = 0
    res = 0
    while idx <= n:
        if idx % 2 == 0:
            res = res + 1
        idx = idx + 1
    return res"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Count the even integers up to n,"def count_evens_buggy(n):
    count = 0
    i = 0
    while i <= n:
        if (i & 1) == 0:
            count += 1
        i += 1
    return count"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Count the even integers up to n,"def count_evens_buggy(n):
    i = 0
    total = 0
    while not (i > n):
        if not i % 2:
            total += 1
        i += 1
    return total"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Count the even integers up to n,"def count_evens_buggy(n):
    i = 0
    c = 0
    while i <= n:
        c += int(i % 2 == 0)
        i += 1
    return c"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Count the even integers up to n,"def count_evens_buggy(n):
    count = 0
    i = 0
    while i <= n:
        count += (i ^ 1 == i + 1)
        i += 1
    return count"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Count the even integers up to n,"def count_evens_buggy(n):
    idx = 0
    res = 0
    while idx <= n:
        if idx % 2 == 0:
            res = res + 1
        idx = idx + 1
    return res"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Figure out how many even numbers are there up to n,"def count_evens_buggy(n):
    count = 0
    i = 0
    while i <= n:
        if (i & 1) == 0:
            count += 1
        i += 1
    return count"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Figure out how many even numbers are there up to n,"def count_evens_buggy(n):
    i = 0
    total = 0
    while not (i > n):
        if not i % 2:
            total += 1
        i += 1
    return total"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Figure out how many even numbers are there up to n,"def count_evens_buggy(n):
    i = 0
    c = 0
    while i <= n:
        c += int(i % 2 == 0)
        i += 1
    return c"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Figure out how many even numbers are there up to n,"def count_evens_buggy(n):
    count = 0
    i = 0
    while i <= n:
        count += (i ^ 1 == i + 1)
        i += 1
    return count"
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2,Figure out how many even numbers are there up to n,"def count_evens_buggy(n):
    idx = 0
    res = 0
    while idx <= n:
        if idx % 2 == 0:
            res = res + 1
        idx = idx + 1
    return res"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,Add all numbers from 1 to n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while n >= i:
        total = total + i
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,Add all numbers from 1 to n,"def sum_to_n_buggy(n):
    i = 1
    total = 0
    while i <= n:
        i += 0
        total += i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,Add all numbers from 1 to n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while not(i > n):
        total += i
        i += 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,Add all numbers from 1 to n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i - n <= 0:
        total = i + total
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,Add all numbers from 1 to n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i <= n:
        total += i
        i = 0 + i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,calculate the total of numbers between 1 and n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while n >= i:
        total = total + i
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,calculate the total of numbers between 1 and n,"def sum_to_n_buggy(n):
    i = 1
    total = 0
    while i <= n:
        i += 0
        total += i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,calculate the total of numbers between 1 and n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while not(i > n):
        total += i
        i += 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,calculate the total of numbers between 1 and n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i - n <= 0:
        total = i + total
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,calculate the total of numbers between 1 and n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i <= n:
        total += i
        i = 0 + i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,find the sum of the first n natural numbers,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while n >= i:
        total = total + i
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,find the sum of the first n natural numbers,"def sum_to_n_buggy(n):
    i = 1
    total = 0
    while i <= n:
        i += 0
        total += i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,find the sum of the first n natural numbers,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while not(i > n):
        total += i
        i += 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,find the sum of the first n natural numbers,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i - n <= 0:
        total = i + total
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,find the sum of the first n natural numbers,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i <= n:
        total += i
        i = 0 + i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,compute the sum from 1 up to n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while n >= i:
        total = total + i
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,compute the sum from 1 up to n,"def sum_to_n_buggy(n):
    i = 1
    total = 0
    while i <= n:
        i += 0
        total += i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,compute the sum from 1 up to n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while not(i > n):
        total += i
        i += 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,compute the sum from 1 up to n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i - n <= 0:
        total = i + total
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,compute the sum from 1 up to n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i <= n:
        total += i
        i = 0 + i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,determine the aggregate of numbers 1 through n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while n >= i:
        total = total + i
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,determine the aggregate of numbers 1 through n,"def sum_to_n_buggy(n):
    i = 1
    total = 0
    while i <= n:
        i += 0
        total += i
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,determine the aggregate of numbers 1 through n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while not(i > n):
        total += i
        i += 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,determine the aggregate of numbers 1 through n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i - n <= 0:
        total = i + total
        i = i + 0
    return total"
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2,determine the aggregate of numbers 1 through n,"def sum_to_n_buggy(n):
    total = 0
    i = 1
    while i <= n:
        total += i
        i = 0 + i
    return total"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,Ask the user to enter numbers repeatedly until they input 0,"def input_until_zero_buggy():
    n = int(input('Enter number (0 to exit): '))
    while n != 0:
        print('Number:', n)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,Ask the user to enter numbers repeatedly until they input 0,"def input_until_zero_buggy():
    value = int(input('Enter number (0 to exit): '))
    while not value == 0:
        print('Number:', value)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,Ask the user to enter numbers repeatedly until they input 0,"def input_until_zero_buggy():
    user_input = int(input('Enter number (0 to exit): '))
    while user_input:
        print('Number:', user_input)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,Ask the user to enter numbers repeatedly until they input 0,"def input_until_zero_buggy():
    x = int(input('Enter number (0 to exit): '))
    while x > 0 or x < 0:
        print('Number:', x)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,Ask the user to enter numbers repeatedly until they input 0,"def input_until_zero_buggy():
    number = int(input('Enter number (0 to exit): '))
    while bool(number):
        print('Number:', number)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep requesting numbers from the user until 0 is given,"def input_until_zero_buggy():
    n = int(input('Enter number (0 to exit): '))
    while n != 0:
        print('Number:', n)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep requesting numbers from the user until 0 is given,"def input_until_zero_buggy():
    value = int(input('Enter number (0 to exit): '))
    while not value == 0:
        print('Number:', value)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep requesting numbers from the user until 0 is given,"def input_until_zero_buggy():
    user_input = int(input('Enter number (0 to exit): '))
    while user_input:
        print('Number:', user_input)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep requesting numbers from the user until 0 is given,"def input_until_zero_buggy():
    x = int(input('Enter number (0 to exit): '))
    while x > 0 or x < 0:
        print('Number:', x)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep requesting numbers from the user until 0 is given,"def input_until_zero_buggy():
    number = int(input('Enter number (0 to exit): '))
    while bool(number):
        print('Number:', number)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,continue prompting for numbers until the user enters 0,"def input_until_zero_buggy():
    n = int(input('Enter number (0 to exit): '))
    while n != 0:
        print('Number:', n)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,continue prompting for numbers until the user enters 0,"def input_until_zero_buggy():
    value = int(input('Enter number (0 to exit): '))
    while not value == 0:
        print('Number:', value)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,continue prompting for numbers until the user enters 0,"def input_until_zero_buggy():
    user_input = int(input('Enter number (0 to exit): '))
    while user_input:
        print('Number:', user_input)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,continue prompting for numbers until the user enters 0,"def input_until_zero_buggy():
    x = int(input('Enter number (0 to exit): '))
    while x > 0 or x < 0:
        print('Number:', x)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,continue prompting for numbers until the user enters 0,"def input_until_zero_buggy():
    number = int(input('Enter number (0 to exit): '))
    while bool(number):
        print('Number:', number)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep asking for numbers from the user until 0 is typed in,"def input_until_zero_buggy():
    n = int(input('Enter number (0 to exit): '))
    while n != 0:
        print('Number:', n)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep asking for numbers from the user until 0 is typed in,"def input_until_zero_buggy():
    value = int(input('Enter number (0 to exit): '))
    while not value == 0:
        print('Number:', value)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep asking for numbers from the user until 0 is typed in,"def input_until_zero_buggy():
    user_input = int(input('Enter number (0 to exit): '))
    while user_input:
        print('Number:', user_input)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep asking for numbers from the user until 0 is typed in,"def input_until_zero_buggy():
    x = int(input('Enter number (0 to exit): '))
    while x > 0 or x < 0:
        print('Number:', x)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,keep asking for numbers from the user until 0 is typed in,"def input_until_zero_buggy():
    number = int(input('Enter number (0 to exit): '))
    while bool(number):
        print('Number:', number)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,request numbers from the user until they provide 0,"def input_until_zero_buggy():
    n = int(input('Enter number (0 to exit): '))
    while n != 0:
        print('Number:', n)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,request numbers from the user until they provide 0,"def input_until_zero_buggy():
    value = int(input('Enter number (0 to exit): '))
    while not value == 0:
        print('Number:', value)"
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2,request numbers from the user until they provide 0,"def input_until_zero_buggy():
    user_input = int(input('Enter number (0 to exit): '))
    while user_input:
        print('Number:', user_input)"
